first_name,second_name,team_name,position,total_points,goals_scored,assists,minutes,now_cost
Kalvin,Phillips,Ipswich,Midfielder,6,0,0,227,49
Arijanet,Muric,Ipswich,Goalkeeper,17,0,0,450,44
Conor,Townsend,Ipswich,Defender,0,0,0,0,40
Sam,Szmodics,Ipswich,Midfielder,13,1,0,286,59
Jens,Cajuste,Ipswich,Midfielder,3,0,0,80,45
Dara,O'Shea,Ipswich,Defender,9,0,0,270,40
Jack,Clarke,Ipswich,Midfielder,8,0,1,159,55
Chiedozie,Ogbene,Ipswich,Midfielder,5,0,0,186,50
Facundo,Buonanotte,Leicester,Midfielder,17,1,2,288,50
Jordan,Ayew,Leicester,Midfielder,7,0,0,290,52
Odsonne,Edouard,Leicester,Forward,5,0,0,123,54
Boubakary,Soumaré,Leicester,Midfielder,1,0,0,11,45
Tom,Cannon,Leicester,Forward,0,0,0,0,45
Hamza,Choudhury,Leicester,Midfielder,1,0,0,14,44
Conor,Coady,Leicester,Defender,0,0,0,7,40
Patson,Daka,Leicester,Forward,0,0,0,0,49
Bobby,De Cordova-Reid,Leicester,Midfielder,6,0,0,149,53
Wout,Faes,Leicester,Defender,12,1,0,540,41
Michael,Golding,Leicester,Midfielder,0,0,0,0,45
Mads,Hermansen,Leicester,Goalkeeper,15,0,0,540,45
Daniel,Iversen,Leicester,Goalkeeper,0,0,0,0,40
James,Justin,Leicester,Defender,19,2,0,540,45
Victor,Kristiansen,Leicester,Defender,6,0,0,534,45
Wanya,Marçal-Madivádua,Leicester,Midfielder,0,0,0,0,45
Stephy,Mavididi,Leicester,Midfielder,22,2,0,303,53
Kasey,McAteer,Leicester,Midfielder,3,0,0,10,48
Wilfred,Ndidi,Leicester,Midfielder,21,0,4,523,50
Caleb,Okoli,Leicester,Defender,4,0,0,360,40
Ricardo,Barbosa Pereira,Leicester,Defender,0,0,0,0,43
Harry,Souttar,Leicester,Defender,0,0,0,0,40
Jakub,Stolarczyk,Leicester,Goalkeeper,0,0,0,0,40
Luke,Thomas,Leicester,Defender,0,0,0,0,40
Jamie,Vardy,Leicester,Forward,22,2,0,500,57
Jannik,Vestergaard,Leicester,Defender,2,0,0,180,40
Danny,Ward,Leicester,Goalkeeper,0,0,0,0,40
Harry,Winks,Leicester,Midfielder,11,0,0,540,45
Oliver,Skipp,Leicester,Midfielder,5,0,0,266,49
Abdul,Fatawu,Leicester,Midfielder,15,0,1,267,55
Will,Alves,Leicester,Midfielder,0,0,0,0,45
Ben,Nelson,Leicester,Defender,0,0,0,0,40
Bilal,El Khannouss,Leicester,Midfielder,3,0,0,78,50
Alisson,Ramses Becker,Liverpool,Goalkeeper,25,0,0,450,55
Trent,Alexander-Arnold,Liverpool,Defender,33,0,1,492,71
Stefan,Bajčetić Maquieira,Liverpool,Midfielder,0,0,0,0,45
Conor,Bradley,Liverpool,Defender,4,0,0,75,48
Bobby,Clark,Liverpool,Midfielder,0,0,0,0,45
Darwin,Núñez Ribeiro,Liverpool,Forward,9,1,0,133,72
Diogo,Teixeira da Silva,Liverpool,Midfielder,26,1,3,373,75
Ben,Doak,Liverpool,Midfielder,0,0,0,0,45
Harvey,Elliott,Liverpool,Midfielder,1,0,0,7,52
Endo,Wataru,Liverpool,Midfielder,1,0,0,1,48
Cody,Gakpo,Liverpool,Forward,5,0,0,117,71
Joe,Gomez,Liverpool,Defender,1,0,0,1,48
Ryan,Gravenberch,Liverpool,Midfielder,15,0,0,540,50
Curtis,Jones,Liverpool,Midfielder,3,0,0,61,53
Caoimhin,Kelleher,Liverpool,Goalkeeper,9,0,0,90,44
Ibrahima,Konaté,Liverpool,Defender,31,1,1,479,52
Luis,Díaz,Liverpool,Midfielder,53,5,1,429,80
Mohamed,Salah,Liverpool,Midfielder,59,4,4,532,128
Alexis,Mac Allister,Liverpool,Midfielder,15,0,0,509,63
James,McConnell,Liverpool,Midfielder,0,0,0,0,45
Tyler,Morton,Liverpool,Midfielder,0,0,0,0,45
Nathaniel,Phillips,Liverpool,Defender,0,0,0,0,40
Jarell,Quansah,Liverpool,Defender,1,0,0,45,41
Rhys,Williams,Liverpool,Defender,0,0,0,0,40
Andrew,Robertson,Liverpool,Defender,27,0,0,502,60
Dominik,Szoboszlai,Liverpool,Midfielder,21,0,2,492,65
Konstantinos,Tsimikas,Liverpool,Defender,3,0,0,33,47
Virgil,van Dijk,Liverpool,Defender,28,0,0,540,60
Federico,Chiesa,Liverpool,Midfielder,1,0,0,18,70
Vítezslav,Jaros,Liverpool,Goalkeeper,0,0,0,0,40
Manuel,Akanji,Man City,Defender,14,0,0,540,55
Nathan,Aké,Man City,Defender,1,0,0,2,53
Bernardo,Veiga de Carvalho e Silva,Man City,Midfielder,19,0,2,456,65
Oscar,Bobb,Man City,Midfielder,0,0,0,0,48
Scott,Carson,Man City,Goalkeeper,0,0,0,0,40
Kevin,De Bruyne,Man City,Midfielder,18,1,1,356,95
Jérémy,Doku,Man City,Midfielder,10,0,0,305,64
Ederson,Santana de Moraes,Man City,Goalkeeper,21,0,1,540,55
Phil,Foden,Man City,Midfielder,3,0,0,89,92
Jack,Grealish,Man City,Midfielder,12,0,1,265,64
Joško,Gvardiol,Man City,Defender,22,1,0,492,59
Erling,Haaland,Man City,Forward,65,10,0,539,153
Julián,Álvarez,Man City,Forward,0,0,0,0,70
João,Cavaco Cancelo,Man City,Defender,0,0,0,0,53
Mateo,Kovačić,Man City,Midfielder,21,1,1,433,55
Rico,Lewis,Man City,Defender,17,0,1,395,47
Matheus Luiz,Nunes,Man City,Midfielder,6,0,1,20,49
James,McAtee,Man City,Midfielder,1,0,0,1,48
Stefan,Ortega Moreno,Man City,Goalkeeper,0,0,0,0,53
Rodrigo 'Rodri',Hernandez,Man City,Midfielder,2,0,0,65,63
Rúben,Gato Alves Dias,Man City,Defender,9,0,0,456,55
John,Stones,Man City,Defender,9,1,0,135,53
Kyle,Walker,Man City,Defender,6,0,0,259,53
Sávio 'Savinho',Moreira de Oliveira,Man City,Midfielder,19,0,3,291,65
Nico,O'Reilly,Man City,Midfielder,0,0,0,0,50
Ilkay,Gündogan,Man City,Midfielder,8,0,0,286,65
Issa,Kaboré,Man City,Defender,0,0,0,0,45
Amad,Diallo,Man Utd,Midfielder,20,1,1,340,50
Antony Matheus,dos Santos,Man Utd,Midfielder,1,0,0,1,58
Bruno,Borges Fernandes,Man Utd,Midfielder,13,0,1,479,82
Altay,Bayindir,Man Utd,Goalkeeper,0,0,0,0,44
Carlos Henrique,Casimiro,Man Utd,Midfielder,8,0,0,273,48
Diogo,Dalot Teixeira,Man Utd,Defender,29,0,1,540,51
Christian,Eriksen,Man Utd,Midfielder,7,0,0,169,54
Jonny,Evans,Man Utd,Defender,2,0,0,22,44
Alejandro,Garnacho,Man Utd,Midfielder,17,1,1,319,63
Hannibal,Mejbri,Man Utd,Midfielder,0,0,0,0,45
Tom,Heaton,Man Utd,Goalkeeper,0,0,0,0,40
Rasmus,Højlund,Man Utd,Forward,2,0,0,31,69
Victor,Lindelöf,Man Utd,Defender,0,0,0,0,43
Harry,Maguire,Man Utd,Defender,8,0,0,195,49
Kobbie,Mainoo,Man Utd,Midfielder,11,0,0,487,53
Tyrell,Malacia,Man Utd,Defender,0,0,0,0,44
Lisandro,Martínez,Man Utd,Defender,19,0,0,526,45
Scott,McTominay,Man Utd,Midfielder,2,0,0,17,49
Mason,Mount,Man Utd,Midfielder,3,0,0,144,63
André,Onana,Man Utd,Goalkeeper,33,0,0,540,50
Facundo,Pellistri Rebollo,Man Utd,Midfielder,0,0,0,0,50
Marcus,Rashford,Man Utd,Midfielder,18,1,0,417,69
Luke,Shaw,Man Utd,Defender,0,0,0,0,49
Joshua,Zirkzee,Man Utd,Forward,15,1,0,354,69
Leny,Yoro,Man Utd,Defender,0,0,0,0,43
Matthijs,de Ligt,Man Utd,Defender,24,1,0,354,50
Noussair,Mazraoui,Man Utd,Defender,25,0,1,513,46
Toby,Collyer,Man Utd,Midfielder,1,0,0,45,45
Ethan,Wheatley,Man Utd,Forward,0,0,0,0,45
Manuel,Ugarte,Man Utd,Midfielder,3,0,0,102,50
Alex,Murphy,Newcastle,Defender,0,0,0,0,40
Miguel,Almirón Rejala,Newcastle,Midfielder,2,0,0,2,56
Harvey,Barnes,Newcastle,Midfielder,35,3,1,323,65
Sven,Botman,Newcastle,Defender,0,0,0,0,44
Bruno,Guimarães Rodriguez Moura,Newcastle,Midfielder,16,0,1,536,63
Dan,Burn,Newcastle,Defender,10,0,0,540,44
Martin,Dúbravka,Newcastle,Goalkeeper,0,0,0,0,43
Anthony,Gordon,Newcastle,Midfielder,28,2,0,509,73
Lewis,Hall,Newcastle,Defender,12,0,0,337,43
Isaac,Hayden,Newcastle,Midfielder,0,0,0,0,45
Alexander,Isak,Newcastle,Forward,19,1,1,405,83
Jacob,Murphy,Newcastle,Midfielder,13,0,2,340,52
Joelinton Cássio,Apolinário de Lira,Newcastle,Midfielder,16,1,0,478,60
Lloyd,Kelly,Newcastle,Defender,8,0,1,203,44
Emil,Krafth,Newcastle,Defender,10,0,0,240,45
Garang,Kuol,Newcastle,Midfielder,0,0,0,0,45
Jamaal,Lascelles,Newcastle,Defender,0,0,0,0,45
Jamal,Lewis,Newcastle,Defender,0,0,0,0,40
Tino,Livramento,Newcastle,Defender,14,0,0,328,45
Sean,Longstaff,Newcastle,Midfielder,8,0,0,283,48
Lewis,Miley,Newcastle,Midfielder,0,0,0,0,50
Odysseas,Vlachodimos,Newcastle,Goalkeeper,0,0,0,0,44
Nick,Pope,Newcastle,Goalkeeper,25,0,0,540,50
John,Ruddy,Newcastle,Goalkeeper,0,0,0,0,40
Fabian,Schär,Newcastle,Defender,8,1,0,297,54
Matt,Targett,Newcastle,Defender,0,0,0,0,40
Sandro,Tonali,Newcastle,Midfielder,4,0,0,160,55
Kieran,Trippier,Newcastle,Defender,5,0,0,208,57
Joe,White,Newcastle,Midfielder,0,0,0,0,45
Joe,Willock,Newcastle,Midfielder,7,0,1,123,48
Callum,Wilson,Newcastle,Forward,0,0,0,0,69
Miodrag,Pivaš,Newcastle,Defender,0,0,0,0,40
William,Osula,Newcastle,Forward,1,0,0,7,50
Álex,Moreno Lopera,Nott'm Forest,Defender,8,0,0,207,44
Ola,Aina,Nott'm Forest,Defender,22,0,0,503,45
Elliot,Anderson,Nott'm Forest,Midfielder,15,0,1,356,50
Taiwo,Awoniyi,Nott'm Forest,Forward,4,0,0,79,57
Willy,Boly,Nott'm Forest,Defender,3,0,0,91,43
Josh,Bowler,Nott'm Forest,Midfielder,0,0,0,0,45
Carlos Miguel,dos Santos Pereira,Nott'm Forest,Goalkeeper,0,0,0,0,43
Eric,da Silva Moreira,Nott'm Forest,Midfielder,0,0,0,0,45
Danilo,dos Santos de Oliveira,Nott'm Forest,Midfielder,1,0,0,14,48
Emmanuel,Dennis,Nott'm Forest,Forward,0,0,0,0,49
Nicolás,Domínguez,Nott'm Forest,Midfielder,3,0,0,160,49
Anthony,Elanga,Nott'm Forest,Midfielder,11,0,1,352,53
Morgan,Gibbs-White,Nott'm Forest,Midfielder,15,1,0,432,63
Callum,Hudson-Odoi,Nott'm Forest,Midfielder,20,1,1,399,54
Alex,Mighten,Nott'm Forest,Midfielder,0,0,0,0,45
Murillo,Santiago Costa dos Santos,Nott'm Forest,Defender,19,0,0,540,45
Neco,Williams,Nott'm Forest,Defender,11,0,0,331,45
Omar,Richards,Nott'm Forest,Defender,0,0,0,0,45
Lewis,O'Brien,Nott'm Forest,Midfielder,0,0,0,0,50
Andrew,Omobamidele,Nott'm Forest,Defender,0,0,0,0,43
Jonathan,Panzo,Nott'm Forest,Defender,0,0,0,0,40
Ibrahim,Sangaré,Nott'm Forest,Midfielder,4,0,0,212,45
Matz,Sels,Nott'm Forest,Goalkeeper,23,0,0,540,45
Harry,Toffolo,Nott'm Forest,Defender,1,0,0,36,44
Hwang,Ui-jo,Nott'm Forest,Forward,0,0,0,0,45
Chris,Wood,Nott'm Forest,Forward,31,3,0,476,62
Joe,Worrall,Nott'm Forest,Defender,0,0,0,0,45
Ryan,Yates,Nott'm Forest,Midfielder,13,0,1,356,50
James,Ward-Prowse,Nott'm Forest,Midfielder,7,0,0,225,62
Nikola,Milenković,Nott'm Forest,Defender,17,0,0,450,45
João Pedro,Ferreira Silva,Nott'm Forest,Midfielder,7,0,1,89,59
Ramón,Sosa,Nott'm Forest,Midfielder,8,1,0,56,55
Felipe,Rodrigues da Silva,Nott'm Forest,Defender,2,0,0,27,45
Aaron,Ramsdale,Southampton,Goalkeeper,10,0,0,360,44
Cameron,Archer,Southampton,Forward,5,0,0,215,50
Lesley,Ugochukwu,Southampton,Midfielder,4,0,0,139,45
Ryan,Fraser,Southampton,Midfielder,3,0,0,129,49
Carlos,Alcaraz Durán,Southampton,Midfielder,1,0,0,9,49
Samuel,Amo-Ameyaw,Southampton,Midfielder,1,0,0,9,45
Joe,Aribo,Southampton,Midfielder,8,0,0,271,49
Adam,Armstrong,Southampton,Forward,5,0,0,213,53
Gavin,Bazunu,Southampton,Goalkeeper,0,0,0,0,44
Jan,Bednarek,Southampton,Defender,8,0,0,530,40
Armel,Bella-Kotchap,Southampton,Defender,0,0,0,0,40
James,Bree,Southampton,Defender,0,0,0,0,40
Shea,Charles,Southampton,Midfielder,0,0,0,0,45
Samuel,Edozie,Southampton,Midfielder,1,0,0,64,49
Ronnie,Edwards,Southampton,Defender,0,0,0,0,40
Taylor,Harwood-Bellis,Southampton,Defender,13,1,0,409,40
Kamaldeen,Sulemana,Southampton,Midfielder,0,0,0,0,50
Adam,Lallana,Southampton,Midfielder,9,0,2,113,50
Juan,Larios López,Southampton,Defender,0,0,0,0,40
Mateusz,Lis,Southampton,Goalkeeper,0,0,0,0,40
Joe,Lumley,Southampton,Goalkeeper,0,0,0,0,40
Ryan,Manning,Southampton,Defender,0,0,0,0,43
Sékou,Mara,Southampton,Forward,0,0,0,0,50
Alex,McCarthy,Southampton,Goalkeeper,6,0,0,180,44
Paul,Onuachu,Southampton,Forward,0,0,0,0,49
Will,Smallbone,Southampton,Midfielder,5,0,0,218,50
Jack,Stephens,Southampton,Defender,2,0,0,348,40
Ross,Stewart,Southampton,Forward,2,0,0,104,46
Sugawara,Yukinari,Southampton,Defender,13,1,0,476,45
Charlie,Taylor,Southampton,Defender,3,0,0,194,40
Kyle,Walker-Peters,Southampton,Defender,6,0,0,350,45
Nathan,Wood-Gordon,Southampton,Defender,0,0,0,0,40
Maxwel,Cornet,Southampton,Midfielder,1,0,0,71,49
Flynn,Downes,Southampton,Midfielder,9,0,0,540,49
Ben,Brereton Díaz,Southampton,Midfielder,9,0,0,389,53
Tyler,Dibling,Southampton,Midfielder,17,1,0,278,46
Mateus Gonçalo,Espanha Fernandes,Southampton,Midfielder,8,0,0,298,50
Dominic,Solanke-Mitchell,Spurs,Forward,16,2,0,357,76
Ashley,Phillips,Spurs,Defender,0,0,0,0,40
Brandon,Austin,Spurs,Goalkeeper,0,0,0,0,40
Rodrigo,Bentancur,Spurs,Midfielder,7,0,0,304,50
Lucas,Bergvall,Spurs,Midfielder,5,0,0,46,45
Yves,Bissouma,Spurs,Midfielder,10,1,0,179,49
Bryan,Gil Salvatierra,Spurs,Midfielder,0,0,0,0,50
Ben,Davies,Spurs,Defender,0,0,0,0,44
Alfie,Devine,Spurs,Midfielder,0,0,0,0,45
Radu,Drăgușin,Spurs,Defender,2,0,0,99,44
Emerson,Leite de Souza Junior,Spurs,Defender,0,0,0,0,45
Fraser,Forster,Spurs,Goalkeeper,0,0,0,0,44
Archie,Gray,Spurs,Midfielder,3,0,0,32,48
Pierre-Emile,Højbjerg,Spurs,Midfielder,0,0,0,0,50
Brennan,Johnson,Spurs,Midfielder,29,2,2,423,64
Dejan,Kulusevski,Spurs,Midfielder,23,1,1,437,62
Giovani,Lo Celso,Spurs,Midfielder,0,0,0,0,49
James,Maddison,Spurs,Midfielder,29,1,3,479,75
Pedro,Porro,Spurs,Defender,25,1,0,537,55
Sergio,Reguilón,Spurs,Defender,0,0,0,0,43
Richarlison,de Andrade,Spurs,Forward,2,0,0,25,68
Cristian,Romero,Spurs,Defender,27,1,0,540,51
Pape Matar,Sarr,Spurs,Midfielder,9,0,1,200,49
Dane,Scarlett,Spurs,Forward,0,0,0,0,45
Manor,Solomon,Spurs,Midfielder,0,0,0,0,54
Son,Heung-min,Spurs,Midfielder,33,2,2,450,99
Djed,Spence,Spurs,Defender,2,0,0,63,44
Destiny,Udogie,Spurs,Defender,13,0,0,477,50
Micky,van de Ven,Spurs,Defender,24,0,2,440,45
Alejo,Véliz,Spurs,Forward,0,0,0,0,50
Guglielmo,Vicario,Spurs,Goalkeeper,20,0,0,540,50
Timo,Werner,Spurs,Midfielder,6,0,0,114,62
Alfie,Whiteman,Spurs,Goalkeeper,0,0,0,0,40
Will,Lankshear,Spurs,Forward,0,0,0,0,45
Mikey,Moore,Spurs,Midfielder,2,0,0,16,45
Wilson,Odobert,Spurs,Midfielder,6,0,0,160,54
Aaron,Wan-Bissaka,West Ham,Defender,7,0,0,388,45
Edson,Álvarez Velázquez,West Ham,Midfielder,4,0,0,222,50
Michail,Antonio,West Ham,Forward,12,0,1,358,54
Alphonse,Areola,West Ham,Goalkeeper,14,0,0,495,45
Jarrod,Bowen,West Ham,Midfielder,24,1,2,517,74
Vladimír,Coufal,West Ham,Defender,9,0,0,198,44
Aaron,Cresswell,West Ham,Defender,2,0,0,18,40
George,Earthy,West Ham,Midfielder,0,0,0,0,45
Emerson,Palmieri dos Santos,West Ham,Defender,9,0,0,421,44
Łukasz,Fabiański,West Ham,Goalkeeper,1,0,0,45,40
Wes,Foderingham,West Ham,Goalkeeper,0,0,0,0,44
Danny,Ings,West Ham,Forward,10,1,0,28,50
Max,Kilman,West Ham,Defender,16,0,1,540,45
Mohammed,Kudus,West Ham,Midfielder,12,0,0,492,63
Luis Guilherme,Lira dos Santos,West Ham,Midfielder,0,0,0,0,48
Lucas,Tolentino Coelho de Lima,West Ham,Midfielder,16,1,0,444,59
Konstantinos,Mavropanos,West Ham,Defender,14,0,0,495,45
Nayef,Aguerd,West Ham,Defender,0,0,0,0,44
Tomáš,Souček,West Ham,Midfielder,25,2,1,367,50
Kurt,Zouma,West Ham,Defender,0,0,0,0,44
Andy,Irving,West Ham,Midfielder,1,0,0,19,49
Crysencio,Summerville,West Ham,Midfielder,5,0,0,133,57
Guido,Rodríguez,West Ham,Midfielder,10,0,0,460,50
Niclas,Füllkrug,West Ham,Forward,3,0,0,63,67
Jean-Clair,Todibo,West Ham,Defender,4,0,0,97,44
Kaelan,Casey,West Ham,Defender,0,0,0,0,40
Carlos,Soler,West Ham,Midfielder,1,0,0,101,50
Sam,Johnstone,Wolves,Goalkeeper,8,0,0,360,44
Rayan,Aït-Nouri,Wolves,Defender,13,1,1,474,44
Boubacar,Traoré,Wolves,Midfielder,0,0,0,0,49
Jean-Ricner,Bellegarde,Wolves,Midfielder,16,1,0,389,50
Daniel,Bentley,Wolves,Goalkeeper,0,0,0,0,40
Francisco Jorge,Tomás Oliveira,Wolves,Midfielder,1,0,0,6,45
Tawanda,Chirewa,Wolves,Midfielder,0,0,0,0,45
Leon,Chiwome,Wolves,Forward,0,0,0,0,45
Luke,Cundle,Wolves,Midfielder,0,0,0,0,45
Matheus,Santos Carneiro Da Cunha,Wolves,Forward,21,2,0,460,65
Craig,Dawson,Wolves,Defender,6,0,0,299,44
Matt,Doherty,Wolves,Defender,2,0,0,208,44
Tommy,Doyle,Wolves,Midfielder,5,0,0,65,49
Fábio,Silva,Wolves,Forward,0,0,0,0,50
Nathan,Fraser,Wolves,Forward,0,0,0,0,45
Enso,González,Wolves,Midfielder,0,0,0,0,45
Gonçalo Manuel,Ganchinho Guedes,Wolves,Midfielder,3,0,0,44,53
Hugo,Bueno López,Wolves,Defender,0,0,0,0,45
Hwang,Hee-chan,Wolves,Midfielder,6,0,0,219,62
Joe,Hodge,Wolves,Midfielder,0,0,0,0,45
Ki-Jana,Hoever,Wolves,Defender,0,0,0,0,40
João Victor,Gomes da Silva,Wolves,Midfielder,8,0,0,493,49
José,Malheiro de Sá,Wolves,Goalkeeper,1,0,0,180,44
Saša,Kalajdžić,Wolves,Forward,0,0,0,0,49
Tom,King,Wolves,Goalkeeper,0,0,0,0,40
Mario,Lemina,Wolves,Midfielder,22,1,1,539,50
Yerson,Mosquera,Wolves,Defender,3,0,0,441,40
Nélson,Cabral Semedo,Wolves,Defender,4,0,0,330,45
Pedro,Cardoso de Lima,Wolves,Defender,0,0,0,0,40
Daniel,Castelo Podence,Wolves,Midfielder,2,0,0,46,55
Rodrigo,Martins Gomes,Wolves,Midfielder,4,0,0,115,53
Santiago,Bueno,Wolves,Defender,1,0,0,84,44
Pablo,Sarabia,Wolves,Midfielder,2,0,0,28,52
Jørgen,Strand Larsen,Wolves,Forward,19,1,1,474,55
Toti António,Gomes,Wolves,Defender,4,0,1,360,43
Bastien,Meupiyou,Wolves,Defender,0,0,0,0,40
André,Trindade da Costa Neto,Wolves,Midfielder,5,0,0,260,50
Carlos Roberto,Forbs Borges,Wolves,Midfielder,1,0,0,42,55
Alfie,Pond,Wolves,Defender,0,0,0,0,40
